thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|prosenphln|prosenrkp|prosenrmp|kppnrkp|kppnrmp|kppnphln|regdam|kdluncuran|kdblokir|uraiblokir|kdib
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JA|524114|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JB|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JC|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JC|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JD|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|100|JD|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|100|SA|524114|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HB|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HB|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HB|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HC|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HC|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HD|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HE|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|100|HG|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HB|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HB|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HB|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|100|HC|524119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|FAC|01|51|1|004|100|IA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|100|FA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|100|FA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|100|FA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|100|FA|524114|019|A|0|0| |0|0|0|0| | | | ||00||0
